date,traffic_intensity_avg,total_vehicle_count,congestion_level
2025-01-01,57.71,14238,Medium
2025-01-02,72.76,18431,High
2025-01-03,73.65,18486,High
2025-01-04,43.91,11169,Medium
2025-01-05,42.76,10374,Medium
2025-01-06,60.15,15504,Medium
2025-01-07,68.15,16767,Medium
2025-01-08,64.85,16008,Medium
2025-01-09,74.28,18243,High
2025-01-10,71.02,17663,High
2025-01-11,44.1,10604,Medium
2025-01-12,51.02,12561,Medium
2025-01-13,55.83,13785,Medium
2025-01-14,70.39,17983,High
2025-01-15,55.06,13536,Medium
2025-01-16,60.86,15252,Medium
2025-01-17,67.22,16408,Medium
2025-01-18,53.26,12836,Medium
2025-01-19,41.0,9939,Medium
2025-01-20,59.97,14510,Medium
2025-01-21,68.33,17231,Medium
2025-01-22,74.75,18603,High
2025-01-23,64.37,15818,Medium
2025-01-24,57.47,14440,Medium
2025-01-25,53.32,13378,Medium
2025-01-26,53.92,13972,Medium
2025-01-27,60.55,15592,Medium
2025-01-28,65.39,16457,Medium
2025-01-29,58.09,14806,Medium
2025-01-30,55.29,13563,Medium
2025-01-31,61.48,14885,Medium
