name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Istanbul,2025-01-01,52.7,37.3,44,52.7,34.5,43.5,39.2,84,0,0,0,,0,0,17.2,6,265.5,1031.7,2.6,5.2,76.5,6.7,4,,2025-01-01T08:29:18,2025-01-01T17:46:36,0.05,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-02,54.1,39.4,47.8,54.1,39.4,46.7,40.7,77.1,0,0,0,,0,0,20.1,10.9,227.3,1027,14,6.4,86.2,7.6,4,,2025-01-02T08:29:23,2025-01-02T17:47:28,0.09,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-03,58.2,49.5,53.7,58.2,45.5,53.5,44.9,72,0,0,0,,0,0,28.6,12.8,219.2,1019.8,39.1,9.7,97.9,8.4,4,,2025-01-03T08:29:26,2025-01-03T17:48:21,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-04,54.4,43.1,49.3,54.4,36.2,46.3,44.2,82.5,0.112,100,12.5,rain,0,0,25.3,14.8,340.1,1018.9,87,8.7,20.1,1.8,2,,2025-01-04T08:29:27,2025-01-04T17:49:16,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-05,49.3,43.3,45.9,47.7,38.8,42.8,38.1,74,0.075,100,8.33,rain,0,0,21.3,10.6,58.7,1022.3,82.6,7.3,39.4,3.4,3,,2025-01-05T08:29:25,2025-01-05T17:50:12,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D8508,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-06,52,39.6,46.5,52,39.6,45.7,41.8,84,0,0,0,,0,0,15.7,8.9,219.8,1021.7,32.6,6.5,82.8,7.1,4,,2025-01-06T08:29:21,2025-01-06T17:51:10,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-07,59.5,49.2,54.5,59.5,46.5,54.2,45.2,71.1,0,0,0,,0,0,19.7,11.1,209.6,1021.1,35.2,8.5,109.1,9.4,4,,2025-01-07T08:29:14,2025-01-07T17:52:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-08,61.9,54.6,57.6,61.9,54.6,57.6,48.7,72.1,0,0,0,,0,0,23.3,10.3,218.3,1020.9,61.1,9.5,89.7,7.7,4,,2025-01-08T08:29:06,2025-01-08T17:53:09,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-09,61.8,52.2,55.6,61.8,52.2,55.6,47.5,74.7,0,0,0,,0,0,18.1,6.2,228.9,1020.4,14.7,8.8,93.1,8.1,4,,2025-01-09T08:28:55,2025-01-09T17:54:10,0.34,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17061099999,17064099999,17060099999"
Istanbul,2025-01-10,60.7,47.7,53.9,60.7,47.7,53.9,45.5,73.6,0,0,0,,0,0,15.2,6.9,204.5,1015.1,27.6,8,95.7,8.2,4,,2025-01-10T08:28:41,2025-01-10T17:55:13,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17061099999,17064099999,17060099999"
